loan_id,document_type,document_status,received_date
LN-000304,NoteAgreement,Complete,2026-04-21
LN-000905,NoteAgreement,Complete,2026-08-02
LN-000483,AppraisalReport,Pending,2026-03-20
LN-000214,NoteAgreement,Complete,2025-09-19
LN-001051,NoteAgreement,Missing,2025-10-30
LN-000811,TitleDeed,Missing,2026-04-16
LN-001155,NoteAgreement,Complete,2026-02-24
LN-000431,NoteAgreement,Complete,2026-07-14
LN-000078,NoteAgreement,Complete,2026-03-03
LN-000282,NoteAgreement,Complete,2026-01-23
LN-001166,AppraisalReport,Complete,2025-09-17
LN-000182,NoteAgreement,Complete,2026-01-25
LN-000683,IncomeProof,Complete,2026-03-02
LN-801212,IncomeProof,Complete,2026-05-24
LN-000760,AppraisalReport,Pending,2025-08-08
LN-000628,NoteAgreement,Complete,2026-08-20
LN-000339,IncomeProof,Complete,2026-03-30
LN-000469,NoteAgreement,Complete,2025-08-24
LN-001195,IncomeProof,Complete,2025-11-28
LN-000362,IncomeProof,Complete,2026-01-15
LN-000619,IncomeProof,Complete,2025-12-05
LN-000186,TitleDeed,Complete,2026-07-23
LN-000775,NoteAgreement,Complete,2025-10-23
LN-000769,IncomeProof,Missing,2026-01-12
LN-000142,AppraisalReport,Complete,2026-05-07
LN-001136,IncomeProof,Complete,2026-06-08
LN-000716,TitleDeed,Pending,2026-01-04
LN-000525,NoteAgreement,Complete,2025-12-31
LN-001110,AppraisalReport,Complete,2026-06-14
LN-000511,IncomeProof,Pending,2026-01-26
LN-000892,IncomeProof,Complete,2026-02-07
LN-000802,AppraisalReport,Pending,2026-08-10
LN-000050,NoteAgreement,Complete,2026-03-24
LN-000961,IncomeProof,Pending,2026-06-26
LN-000429,NoteAgreement,Pending,2026-02-09
LN-001192,AppraisalReport,Complete,2026-05-21
LN-000602,AppraisalReport,Complete,2026-06-30
LN-000793,NoteAgreement,Pending,2025-09-29
LN-000971,AppraisalReport,Missing,2026-01-24
LN-000526,NoteAgreement,Complete,2025-09-11
LN-001181,NoteAgreement,Complete,2025-12-16
LN-000365,TitleDeed,Complete,2026-08-18
LN-000253,TitleDeed,Complete,2026-05-15
LN-000713,NoteAgreement,Complete,2026-06-20
LN-000736,TitleDeed,Complete,2026-06-11
LN-001125,TitleDeed,Complete,2026-05-21
LN-000585,TitleDeed,Complete,2026-03-29
LN-000169,IncomeProof,Complete,2025-12-23
LN-001005,TitleDeed,Complete,2025-11-25
LN-000553,IncomeProof,Complete,2026-08-05
LN-000237,NoteAgreement,Complete,2026-08-02
LN-000875,IncomeProof,Complete,2026-01-02
LN-000131,NoteAgreement,Complete,2026-04-27
LN-000911,NoteAgreement,Complete,2025-08-26
LN-000007,TitleDeed,Complete,2026-02-25
LN-000695,IncomeProof,Complete,2026-05-14
LN-000027,AppraisalReport,Complete,2026-06-08
LN-000334,TitleDeed,Complete,2026-08-18
LN-000343,AppraisalReport,Pending,2026-03-26
LN-000158,IncomeProof,Complete,2025-12-14
LN-001060,NoteAgreement,Complete,2025-10-19
LN-000193,TitleDeed,Pending,2026-08-07
LN-000834,NoteAgreement,Complete,2026-07-15
