loan_id,current_balance,payment_status,days_past_due,last_updated_at,source_system,servicer_name
LN-001160,194741.27,Current,0,2026-08-19T02:14:00Z,ServicerFeed,MeridianServicing
LN-000318,208616.82,Current,0,2026-08-15T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000863,135989.4,90+ Days,96,2026-08-07T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000666,0.0,Paid Off,0,2026-08-06T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000421,492602.11,Default,181,2026-08-11T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000481,377022.69,Current,0,2026-08-25T06:30:00Z,ServicerFeed,MeridianServicing
LN-000955,270030.71,Current,0,2026-08-26T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000186,452412.68,60-89 Days,70,2026-08-17T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000943,0.0,Paid Off,0,2026-08-17T06:30:00Z,ServicerFeed,ServicerX
LN-000013,336301.88,Current,0,2026-08-09T06:30:00Z,ServicerFeed,MeridianServicing
LN-001103,189329.6,Current,0,2026-08-26T06:30:00Z,ServicerFeed,MeridianServicing
LN-000872,0.0,Paid Off,0,2026-08-07T06:30:00Z,ServicerFeed,ServicerX
LN-000635,458188.67,Current,0,2026-08-21T06:30:00Z,ServicerFeed,ServicerX
LN-000542,111041.58,Current,0,2026-08-19T02:14:00Z,ServicerFeed,ServicerX
LN-000354,485651.28,Current,0,2026-08-14T06:30:00Z,ServicerFeed,ServicerX
LN-000835,116180.69,90+ Days,120,2026-08-25T06:30:00Z,ServicerFeed,ServicerX
LN-000602,525986.84,Current,0,2026-08-10T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000326,358171.44,30-59 Days,47,2026-08-09T06:30:00Z,ServicerFeed,MeridianServicing
LN-000062,99033.48,Current,0,2026-08-14T06:30:00Z,ServicerFeed,AtlasLoanCare
LN-000426,361351.6,Current,0,2026-08-06T06:30:00Z,ServicerFeed,MeridianServicing
LN-001106,428683.0,Current,0,2026-08-12T06:30:00Z,ServicerFeed,ServicerX
LN-000485,97117.68,30-59 Days,35,2026-08-16T06:30:00Z,ServicerFeed,ServicerX
LN-000179,441143.66,60-89 Days,82,2026-08-07T06:30:00Z,ServicerFeed,ServicerX
LN-000491,36131.76,Current,0,2026-08-19T02:14:00Z,ServicerFeed,ServicerX
LN-000674,238167.36,Current,0,2026-08-13T06:30:00Z,ServicerFeed,ServicerX
LN-000624,256511.21,Current,0,2026-08-20T06:30:00Z,ServicerFeed,MeridianServicing
LN-000040,752455.41,60-89 Days,66,2026-08-19T02:14:00Z,ServicerFeed,ServicerX
LN-000233,242120.36,Current,0,2026-08-25T06:30:00Z,ServicerFeed,ServicerX
LN-000583,519786.56,Current,0,2026-08-07T06:30:00Z,ServicerFeed,MeridianServicing
LN-000740,0.0,Closed,0,2026-08-17T06:30:00Z,ServicerFeed,MeridianServicing
LN-001168,146703.33,Current,0,2026-08-26T06:30:00Z,ServicerFeed,MeridianServicing
LN-801210,297348.9,Current,0,2026-08-19T02:14:00Z,ServicerFeed,ServicerX
LN-000926,424064.04,Current,0,2026-08-25T06:30:00Z,ServicerFeed,ServicerX
